delta_1 9.8M 10.020657281s
delta_10 9.7M 10.021446025s
delta_2 9.7M 10.020961241s
outliers_1 9.4M 10.021238335s
outliers_10 9.6M 10.019977814s
outliers_2 9.5M 10.020792556s
outliers_20 9.6M 10.021399819s
outliers_5 9.6M 10.021048469s
repeats_0 8.6M 10.021715208s
repeats_20 7.1M 10.021114365s
repeats_40 5.4M 10.019442159s
repeats_60 3.9M 10.020825406s
repeats_90 268K 10.020574846s
scarsity_10 344K 10.021253883s
scarsity_30 84K 5.016808239s
scarsity_50 84K 5.016555516s
scarsity_70 84K 5.015931483s
scarsity_90 84K 5.016187317s
