delta_1 4714452KB .968505297s
delta_10 4714164KB .961390477s
delta_2 4714320KB .966604739s
outliers_1 4714344KB .942299822s
outliers_10 4714332KB .949688954s
outliers_2 4714192KB .952040924s
outliers_20 4714280KB .958235551s
outliers_5 4714172KB .942818369s
repeats_0 4714380KB .950327750s
repeats_20 4714168KB .947306668s
repeats_40 4713880KB .940439827s
repeats_60 4714172KB .952365549s
repeats_90 4714168KB .925450208s
scarsity_10 4713052KB .599107413s
scarsity_30 4713056KB .600375809s
scarsity_50 4713060KB .600766632s
scarsity_70 4713064KB .607152979s
scarsity_90 4713068KB .615348139s
