time,id_station,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99
2019-04-30T00:00:00,st0,,,,,,0.2513411283723057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25820267033533995,,,,,,0.2049307846038556,,,,,,,,0.5538931204811016,,,,0.9954027897870188,,,,,0.3561807769164278,,,,,,,,0.5050274081901676,,,,,,,,,,,,,,,,,,,,,,,0.4541208551223841,,,,,,,
2019-04-30T00:00:10,st0,0.27502931836911926,,,,,,0.7999590703096569,,,,,,,,,,,,0.2924495350393145,,,,,,0.3907654224038888,0.13356521604338034,,,0.7060978134439916,,,,,,,,,,,,,,,,,,0.19061398705732202,,,,,,,0.24242334010246358,,,,,,,0.12771573313848994,,,,,,,0.4146417323846967,,,,,,,,,,,,,,,,,,0.7649278223800414,,,,,,,,,,,,,,
2019-04-30T00:00:20,st0,,,0.4397366337078622,,,0.8604447384932494,,,,,,,,,,,,0.04105190681574311,,,,,,,0.026788984246053138,,,,,,,,,,,,,,,,,,,0.3340489534358224,,,,,,,,0.7830157670991916,,,,,,,,,,,,0.8679926861734879,,,,,,,0.033629889687226244,0.6192780866553014,,0.5733805584567989,,0.6617880213674214,,,,,,,,,0.5100747040384664,,,,,,,0.03580024000470472,,0.7538613415857099,,,,,,0.810078814438879
2019-04-30T00:00:30,st0,,,,,,,,,,0.8098529506140342,,,,0.04307618074717812,,0.3993334805486505,0.3553447650916609,,0.8894290811904569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9544484660995831,,,,,,,,,,,,,0.16337775750570638,,,,,,,,,,,0.3103893198163309,,,,,,,,0.07761595296453161,,0.2909831245559723,,,,,0.5805147907292779,,0.5051138734261016,,,,,,,,,,,
2019-04-30T00:00:40,st0,0.1024951761715075,,,0.9925858784507974,,,,,0.6446844415477089,,,,,,,,,0.9745076014769779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3260704109104823,,0.34576747321799384,0.8956532078742591,,,,,,,,,,0.919872268240443,,,,,,,,,,,,,,,,,,,0.20501335990298697,,,,0.4548434638633666,,,,,,,,0.23482827795523464
2019-04-30T00:00:50,st0,0.8921795677048454,,,,,,,,,,,,0.1804066423145254,,0.22795242116460845,,,0.2104313576587301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1867625054688019,,,,0.08923129723755119,,,,,,,,,,,,,,,0.3839397943879901,,,
2019-04-30T00:01:00,st0,,,,,,,,,,,,,,,0.9919711370695735,0.3732147783111178,,,,,,,,,0.6311676118965833,,,,,,,,,,,,,,,,,,,,,,,,,,0.6013213465396171,,,,0.1305336828520507,,,0.26943505866578166,,,0.4315408689089967,,,0.3837403773034923,,,,,,,0.3497931079337526,,,,,,,,,,,0.46992663089304165,,,,,,,,0.47390968200126715,0.7570959442137706,,,,,,,,,
2019-04-30T00:01:10,st0,,,,,0.17745987265393715,,,0.6589842866775,,,,,,,,,,,,,,,,,,,,,,,,0.5775953456666756,,,,,0.18275129453764838,,,,,,,,,,,,,0.4072022994000837,,,,,,,,0.3513213550901402,,0.6679451470233497,,0.8316931239037577,,,,0.8959930240498837,,,,,,,,,,,,,,,,,,,,,,,0.10212513360567121,,,,,,,,,,,
2019-04-30T00:01:20,st0,,,,,,,0.5319442660272765,,,,,,,,,,,,,,,,,,0.24613125133491598,,,,,,,,,,,,,,0.909367702130564,,0.6496358370909533,,,,,0.34141347898419794,,,,,,,,,,0.5185241264901388,,,,0.8742474195953946,,,,,,,,,,0.9407779646160946,,,,,0.9637159838583018,,,,0.32323961327206696,,,,,,,,0.9931314685416264,,,,,0.5779405344578123,,,0.4878089769277901,,0.16256496412019383,,,
2019-04-30T00:01:30,st0,,,,,,,,,,,,,,,,,,,,,0.2921379302501981,,,,,,,0.1349534408248012,,,,,,,,,,,,,,,,,,,,,0.597098830879844,,,,,,,,,,,,,0.2819545056103844,,0.46933682416003075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30T00:01:40,st0,,,,,,0.5883853401736552,,,,,,,,,,,0.8541881124668774,,,,,,,0.8801119405300885,0.3735289049622431,,,,,,,,,,,,,,,0.6057206505981991,,,,,,,,,,,,,,,,,,,,0.41047968102946375,,,,,,,,,,,,,,,,,,,,,,,,0.10614969588494816,,,,,,,,0.8699536990407916,,,,,,0.24807671116863084,,
2019-04-30T00:01:50,st0,,,,,,0.6033869772886415,,0.3121428984317991,,,,,,,,,,,,,,0.5760532010103994,,0.362727315928137,,,,,,,,,,,,,,,,0.3101622549861901,,,,,,,,0.8033755099577814,,,,,,,,,,,,,,,,,0.9923451127525112,,0.776043240476559,,,,,,,,,,,,0.5749914053076823,,,,,,,,,,,0.43382721416901826,,,,,,,,,,
2019-04-30T00:02:00,st0,,,,,,0.724914520712866,,,,,,,,,0.04473306686117373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24770227545229917,,,,,,,,,,,,,,,,,,,,0.927946082738581,,,,,,,,,,,,,,0.6500171493772493,,,,,,,,,,,,,,,,,,,
2019-04-30T00:02:10,st0,,,0.4244996613184139,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31618282231866357,,0.7128067875006516,,0.17242966410197236,0.3954240009376979,,,,,,,,,,0.5869777807231166,,,,,,,,,,,,,,,,,0.668191103587186,,,,,,,,,,,0.24033759038462177,,,,,,,,,,,,,,,0.942932060019553,,,,,,,,,,,
2019-04-30T00:02:20,st0,,,,,,,,,,,,,,,,0.9347544454102629,,,,,,,,,,,,,0.9436064978533751,,,,,,,,,,,,0.5765623633375505,,,,,,,,,0.3477407568097918,,,,,,,,,,,,0.22339974519215244,,,,,,,,,,,,0.5244601515172502,,,0.4897248911222435,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30T00:02:30,st0,,,,,0.11092059199870286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38996033224156956,,,,,,0.880444612095764,,,0.4295445936841239,,0.19054078160850374,,,,,,,,,,,,0.7720643413209595,,,0.0004047091905461375,,,0.5864250294346417,,0.9911690784849339,,,,0.7423109889027958,,,0.500601787464128,,,,,,,,,,0.19944138616797946,,,,0.816762562372199,0.7364877663588953,,,,
2019-04-30T00:02:40,st0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2748904808788366,,,,,,,,,,,,,,,,,,,0.9498729010745394,,,,,0.9097855771951727,,,0.15180877121390135,,,0.8631697608404283,,0.09762089712352895,,,,0.7287385179691819,,,,,,,,,0.43103912029221503,0.06997459224491998,,,,,,,,,,,,0.04942852703694045,,,,
