runtime, var  , query , n_s , n_st , timerange
1.107797622680664 , 0.9989395468847451  , q1 , 1 , 1 , minute
2.161860466003418 , 1.1817196194668862  , q1 , 1 , 1 , hour
21.20217800140381 , 2.2547855664511087  , q1 , 1 , 1 , day
20.726232528686523 , 2.5603704235546094  , q1 , 1 , 1 , week
488.1230902671814 , 6.930449164962739  , q1 , 1 , 1 , month
1.5016818046569824 , 1.33611162341402  , q1 , 1 , 2 , minute
3.359839916229248 , 1.4233338729177896  , q1 , 1 , 2 , hour
38.40001583099365 , 2.451552558631159  , q1 , 1 , 2 , day
38.32304239273071 , 6.774962443536472  , q1 , 1 , 2 , week
964.0625715255737 , 10.221510554435321  , q1 , 1 , 2 , month
1.795504093170166 , 1.5541280758590315  , q1 , 1 , 3 , minute
3.692619800567627 , 0.7919600652011781  , q1 , 1 , 3 , hour
47.703025341033936 , 3.713309060407224  , q1 , 1 , 3 , day
55.53718090057373 , 2.071443579182964  , q1 , 1 , 3 , week
1446.1219889777046 , 13.57640619264759  , q1 , 1 , 3 , month
1.793513298034668 , 1.3648821966051354  , q1 , 1 , 4 , minute
4.712319374084473 , 1.2163633994707714  , q1 , 1 , 4 , hour
70.60393571853638 , 1.824114349715567  , q1 , 1 , 4 , day
69.89726543426514 , 1.8516265896558415  , q1 , 1 , 4 , week
1903.0602068271278 , 13.868570016252914  , q1 , 1 , 4 , month
2.0896077156066895 , 1.4291836501085553  , q1 , 1 , 5 , minute
5.593760013580322 , 1.1997838803335912  , q1 , 1 , 5 , hour
83.80361318588257 , 2.2720583185914864  , q1 , 1 , 5 , day
84.66455221176147 , 1.8088730448950383  , q1 , 1 , 5 , week
2385.462965284075 , 15.161045857288123  , q1 , 1 , 5 , month
2.306044101715088 , 1.6338912461195634  , q1 , 1 , 6 , minute
6.350090503692627 , 1.1870459949769199  , q1 , 1 , 6 , hour
99.03326511383057 , 3.572142605931957  , q1 , 1 , 6 , day
98.92043590545654 , 2.5588434158787625  , q1 , 1 , 6 , week
2864.429439817156 , 19.44153754452501  , q1 , 1 , 6 , month
2.3970723152160645 , 1.4306694893852843  , q1 , 1 , 7 , minute
7.624118328094482 , 1.437803262160036  , q1 , 1 , 7 , hour
117.57089138031006 , 2.447472341532725  , q1 , 1 , 7 , day
117.15425968170166 , 2.7210313038195864  , q1 , 1 , 7 , week
3366.592844327291 , 22.333688936774248  , q1 , 1 , 7 , month
2.6887917518615723 , 1.5950019228091743  , q1 , 1 , 8 , minute
8.990843296051025 , 1.3585096169947024  , q1 , 1 , 8 , hour
131.41146183013916 , 2.7577191759756303  , q1 , 1 , 8 , day
131.30983352661133 , 2.439811505165203  , q1 , 1 , 8 , week
3846.2547338925874 , 40.05499087597555  , q1 , 1 , 8 , month
3.1134963035583496 , 1.5582782399247945  , q1 , 1 , 9 , minute
11.312377452850342 , 1.4271837228270903  , q1 , 1 , 9 , hour
146.8286156654358 , 2.7226081047372435  , q1 , 1 , 9 , day
146.9871687889099 , 3.2317151323077073  , q1 , 1 , 9 , week
4270.931442578633 , 41.04305475801601  , q1 , 1 , 9 , month
3.2154345512390137 , 1.5190471713957756  , q1 , 1 , 10 , minute
9.963159561157227 , 1.5118290917874568  , q1 , 1 , 10 , hour
163.38808059692383 , 4.01580373110537  , q1 , 1 , 10 , day
163.44868183135986 , 2.252905869165171  , q1 , 1 , 10 , week
4837.33750524975 , 58.896217852264485  , q1 , 1 , 10 , month
1.7015266418457031 , 1.38108701680892  , q1 , 10 , 1 , minute
4.470880031585693 , 1.5190701316353024  , q1 , 10 , 1 , hour
54.96058940887451 , 2.0326732792643547  , q1 , 10 , 1 , day
55.30149221420288 , 1.9238806371028985  , q1 , 10 , 1 , week
1443.725688116891 , 7.648482751943647  , q1 , 10 , 1 , month
2.2283267974853516 , 1.318506001007311  , q1 , 10 , 2 , minute
6.279091835021973 , 1.5387720673980902  , q1 , 10 , 2 , hour
98.20141792297363 , 2.337086862791918  , q1 , 10 , 2 , day
98.5080337524414 , 2.236723511485361  , q1 , 10 , 2 , week
2870.679780415126 , 13.55983191919388  , q1 , 10 , 2 , month
2.685227394104004 , 1.3829208760132559  , q1 , 10 , 3 , minute
8.990247249603271 , 1.6195680581959238  , q1 , 10 , 3 , hour
146.64581775665283 , 3.2696026514368097  , q1 , 10 , 3 , day
144.8740315437317 , 4.093657243962243  , q1 , 10 , 3 , week
4257.755408684413 , 45.03455102605773  , q1 , 10 , 3 , month
3.2124805450439453 , 1.52397468183747  , q1 , 10 , 4 , minute
11.370422840118408 , 1.5594428503103508  , q1 , 10 , 4 , hour
191.92507982254028 , 3.878133092063616  , q1 , 10 , 4 , day
190.90911388397217 , 3.4686657847382714  , q1 , 10 , 4 , week
5744.95079782274 , 43.52385725779582  , q1 , 10 , 4 , month
3.961613178253174 , 1.3565993471505546  , q1 , 10 , 5 , minute
13.214662075042725 , 1.859772266998197  , q1 , 10 , 5 , hour
238.8537883758545 , 8.511246813139614  , q1 , 10 , 5 , day
239.99117851257324 , 7.741352432778035  , q1 , 10 , 5 , week
7184.936438288008 , 53.37448273043932  , q1 , 10 , 5 , month
4.349198341369629 , 1.2780764428378801  , q1 , 10 , 6 , minute
21.258885860443115 , 2.5022437340840797  , q1 , 10 , 6 , hour
283.24021339416504 , 6.321483898388317  , q1 , 10 , 6 , day
284.27377939224243 , 5.730745977256526  , q1 , 10 , 6 , week
8536.148508389791 , 42.87988971761094  , q1 , 10 , 6 , month
5.118389129638672 , 1.5045282992964577  , q1 , 10 , 7 , minute
25.76268196105957 , 2.0765094000028097  , q1 , 10 , 7 , hour
328.1902480125427 , 7.1330726759877185  , q1 , 10 , 7 , day
327.7391266822815 , 5.330116686965896  , q1 , 10 , 7 , week
10029.816365242004 , 105.77698263766723  , q1 , 10 , 7 , month
5.645444393157959 , 1.4860083757566418  , q1 , 10 , 8 , minute
29.267466068267822 , 2.1908156621293804  , q1 , 10 , 8 , hour
376.50264024734497 , 6.240539467705376  , q1 , 10 , 8 , day
374.5336580276489 , 5.511904999729667  , q1 , 10 , 8 , week
