170.3768014907837 , 532.6325784164321 , q1 , 1 , 1 , minute
1230.9963703155518 , 3883.7748708308336 , q1 , 1 , 10 , minute
442.61648654937744 , 1388.5581188427977 , q1 , 1 , 50 , minute
8957.608 , 3517.081 , q1 , 1 , 100 , week
22502.88 , 7528.119 , q1 , 3 , 100 , week
24635.848 , 9599.43 , q1 , 20 , 50 , day
15158.04 , 6415.315 , q1 , 20 , 100 , day
28083.552 , 20433.579 , q1 , 20 , 1 , week
14946.572 , 10690.527 , q1 , 20 , 10 , week
50442.376 , 23606.642 , q1 , 20 , 50 , week
49867.202 , 38798.085 , q1 , 20 , 100 , week
14493.064 , 4572.085 , q1 , 40 , 50 , day
23844.448 , 2684.291 , q1 , 40 , 100 , day
31990.299 , 23852.543 , q1 , 40 , 10 , week
76854.978 , 62549.746 , q1 , 40 , 50 , week
15434.938 , 1554.782 , q1 , 60 , 50 , day
37337.491 , 5977.436 , q1 , 60 , 100 , day
16604.963 , 9512.291 , q1 , 60 , 10 , week
79616.675 , 37173.017 , q1 , 60 , 50 , week
63189.151 , 67974.69 , q1 , 80 , 1 , day
56048.875 , 44989.92 , q1 , 80 , 10 , day
89776.566 , 57933.111 , q1 , 80 , 50 , day
80024.468 , 31717.339 , q1 , 80 , 100 , day
285701.129 , 222207.467 , q1 , 80 , 1 , week
148971.689 , 188881.342 , q1 , 80 , 10 , week
405816.988 , 387940.362 , q1 , 80 , 50 , week
108792.245 , 125766.252 , q1 , 100 , 1 , day
141127.118 , 85757.948 , q1 , 100 , 10 , day
192201.76 , 115303.783 , q1 , 100 , 50 , day
176963.753 , 70070.677 , q1 , 100 , 100 , day
846554.91 , 413710.498 , q1 , 100 , 1 , week
1167972.357 , 821156.513 , q1 , 100 , 10 , week
43686.457 , 17553.647 , q2 , 20 , 1 , week
80111.979 , 55831.676 , q2 , 20 , 10 , week
115242.832 , 40604.118 , q2 , 20 , 50 , week
65354.761 , 60099.726 , q2 , 20 , 100 , week
31523.511 , 16196.852 , q2 , 40 , 10 , day
42339.545 , 16714.385 , q2 , 40 , 50 , day
42000.095 , 15412.637 , q2 , 40 , 100 , day
69158.293 , 54509.616 , q2 , 40 , 1 , week
151789.262 , 109891.783 , q2 , 40 , 10 , week
206121.51 , 148300.813 , q2 , 40 , 50 , week
301356.491 , 97891.352 , q2 , 40 , 100 , week
26157.512 , 5537.997 , q2 , 60 , 1 , day
44728.563 , 22058.262 , q2 , 60 , 10 , day
56029.263 , 9596.752 , q2 , 60 , 50 , day
77747.401 , 14213.323 , q2 , 60 , 100 , day
114279.002 , 69730.003 , q2 , 60 , 1 , week
180643.76 , 117935.862 , q2 , 60 , 10 , week
181682.325 , 138836.954 , q2 , 60 , 50 , week
352907.424 , 197380.127 , q2 , 60 , 100 , week
41266.158 , 27479.135 , q2 , 80 , 1 , day
102551.145 , 48755.685 , q2 , 80 , 10 , day
124662.926 , 33309.948 , q2 , 80 , 50 , day
128163.905 , 41424.437 , q2 , 80 , 100 , day
285061.365 , 180261.893 , q2 , 80 , 1 , week
417630.763 , 296052.619 , q2 , 80 , 10 , week
