82.449 , 12.093  , q1 , 3 , 1 , day , 10000
15.915 , 3.596  , q2 , 3 , 1 , day , 10000
12.882 , 4.558  , q3 , 3 , 1 , day , 10000
13.542 , 3.16  , q4 , 3 , 1 , day , 10000
236.676 , 20.836  , q5 , 3 , 1 , day , 10000
79.565 , 11.875  , q6 , 3 , 1 , day , 10000
82.335 , 11.195  , q1 , 3 , 1 , day , 10000
17.51 , 4.594  , q2 , 3 , 1 , day , 10000
12.096 , 2.97  , q3 , 3 , 1 , day , 10000
13.673 , 4.268  , q4 , 3 , 1 , day , 10000
240.161 , 20.811  , q5 , 3 , 1 , day , 10000
78.87 , 10.813  , q6 , 3 , 1 , day , 10000
85.603 , 16.994  , q1 , 3 , 1 , day , 100000
17.754 , 4.79  , q2 , 3 , 1 , day , 100000
13.432 , 3.991  , q3 , 3 , 1 , day , 100000
14.895 , 4.678  , q4 , 3 , 1 , day , 100000
239.212 , 20.869  , q5 , 3 , 1 , day , 100000
81.372 , 11.843  , q6 , 3 , 1 , day , 100000
82.394 , 12.189  , q1 , 3 , 1 , day , 100000
17.363 , 5.319  , q2 , 3 , 1 , day , 100000
13.932 , 4.285  , q3 , 3 , 1 , day , 100000
14.178 , 4.453  , q4 , 3 , 1 , day , 100000
238.177 , 20.68  , q5 , 3 , 1 , day , 100000
79.824 , 12.041  , q6 , 3 , 1 , day , 100000
88.584 , 17.823  , q1 , 3 , 1 , day , 200000
18.895 , 6.179  , q2 , 3 , 1 , day , 200000
14.099 , 4.544  , q3 , 3 , 1 , day , 200000
16.194 , 5.463  , q4 , 3 , 1 , day , 200000
252.565 , 26.539  , q5 , 3 , 1 , day , 200000
85.909 , 15.703  , q6 , 3 , 1 , day , 200000
90.557 , 19.523  , q1 , 3 , 1 , day , 200000
19.56 , 6.457  , q2 , 3 , 1 , day , 200000
15.329 , 5.501  , q3 , 3 , 1 , day , 200000
15.477 , 5.084  , q4 , 3 , 1 , day , 200000
252.181 , 30.441  , q5 , 3 , 1 , day , 200000
85.788 , 17.822  , q6 , 3 , 1 , day , 200000
95.258 , 17.848  , q1 , 3 , 1 , day , 500000
26.707 , 3.192  , q2 , 3 , 1 , day , 500000
21.707 , 3.758  , q3 , 3 , 1 , day , 500000
23.743 , 3.738  , q4 , 3 , 1 , day , 500000
269.085 , 28.283  , q5 , 3 , 1 , day , 500000
94.098 , 16.065  , q6 , 3 , 1 , day , 500000
97.819 , 18.566  , q1 , 3 , 1 , day , 500000
27.15 , 4.183  , q2 , 3 , 1 , day , 500000
22.98 , 3.71  , q3 , 3 , 1 , day , 500000
23.902 , 3.529  , q4 , 3 , 1 , day , 500000
267.801 , 27.866  , q5 , 3 , 1 , day , 500000
93.548 , 13.718  , q6 , 3 , 1 , day , 500000
93.758 , 13.893  , q1 , 3 , 1 , day , 1000000
25.47 , 4.736  , q2 , 3 , 1 , day , 1000000
21.93 , 3.717  , q3 , 3 , 1 , day , 1000000
23.915 , 12.124  , q4 , 3 , 1 , day , 1000000
271.111 , 26.222  , q5 , 3 , 1 , day , 1000000
101.527 , 17.239  , q6 , 3 , 1 , day , 1000000
107.393 , 17.549  , q1 , 3 , 1 , day , 1000000
39.943 , 5.322  , q2 , 3 , 1 , day , 1000000
34.902 , 4.901  , q3 , 3 , 1 , day , 1000000
36.349 , 4.468  , q4 , 3 , 1 , day , 1000000
279.684 , 33.016  , q5 , 3 , 1 , day , 1000000
103.984 , 18.601  , q6 , 3 , 1 , day , 1000000
